Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      2092.55         2357            0.122           0.887803        49.5235         2.27478         
W2      2093.37         2342.98         0.106429        0.893467        25.6731         1.60545         
W3              2094.15         2218            0.944161        119.398         1               
W4              2094.87         2198.57         0.952832        53.2993         1               
W5      2095.55         2123.17         0.129058        0.986989        34.9716         0.667293        
W6      2096.17         2138.51         0.114653        0.980204        64.0541         2.31221         
W7      2096.74         2430.18         0.0952948       0.862791        1.00509         1.24577e-07     
W8      2097.26         2042.8          0.134496        1.02666         48.2124         4.96265         
W9      2097.73         2165.88         0.136312        0.968537        14.7678         2.80504         
W10     2098.15         2088.3          0.124206        1.00471         41.9958         0.907527        
W11     2098.51         2091.54         0.133473        1.00333         40.4374         1.76977         
W12     2098.82         2146.55         0.122647        0.977765        105.886         3.10782         
W13     2099.08         2204.34         0.131616        0.952249        150.66          1.04423         
W14     2099.29         2101.58         0.144392        0.998911        57.2993         5.86017         
W15     2099.45         2109.2          0.140738        0.995375        43.2168         0.832114        
W16     2099.55         2102.02         0.14514         0.998827        48.9272         2.36507         
W17     2099.61         2120.14         0.134556        0.990316        99.9935         1.40639         
W18     2099.61         2035.14         0.136171        1.03168         42.022          1.00154         
W19     2099.55         2065.84         0.13132         1.01632         108.944         1.1974          
W20     2099.45         2098.16         0.136656        1.00062         30.2932         2.76279         
W21     2099.29         2105.94         0.150231        0.996845        26.3743         0.178934        
W22     2099.08         2082.91         0.110497        1.00777         40.2842         0.555546        
W23             2098.82         2089.08         1.00466         64.2792         0.154355        
W24             2098.51         2006.05         1.04609         127.431         1.02382         
W25     2098.15         2072.79         0.138418        1.01223         47.6678         0.429721        
W26     2097.73         2130.76         0.133981        0.984498        22.0864         1.182           
W27     2097.26         2076.66         0.12448         1.00992         61.3512         1.19053         
W28     2096.74         1992.54         0.121367        1.0523          60.679          3.35152         
W29     2096.17         2087.82         0.135115        1.004           14.9927         1.46486         
W30             2095.55         2275.22         0.921033        124.861         1               
W31             2094.87         2222.38         0.942624        108.58          1               
W32             2094.15         2221.43         0.942704        49.9796         1               
W33     2093.37         2503.72         0.135874        0.836106        199.938         2.31224         
W34     2092.55         2130.12         0.117944        0.98236         1.58653         2.04261e-06     
W35     2093.37         2019.36         0.117231        1.03665         6.19816         1.61392         
W36     2094.2          2225.95         0.133528        0.94081         14.106          0.498078        
W37     2094.98         3970.79         0.129285        0.527597        1.10643         1.43847e-05     
W38     2095.7          1904.04         0.107754        1.10066         43.3633         2.1138          
W39     2096.38         2129.27         0.11464         0.98455         25.8268         3.12313         
W40     2097            2142.82         0.115806        0.978617        98.7165         3.52145         
W41     2097.57         1885.69         0.107418        1.11236         55.137          2.67379         
W42     2098.09         2074.14         0.127896        1.01155         25.0722         0.205028        
W43     2098.56         2125.84         0.127831        0.987166        42.6795         0.985946        
W44     2098.98         2105.45         0.114519        0.996927        29.1273         3.70444         
W45     2099.34         2092.71         0.123856        1.00317         50.847          0.348008        
W46     2099.66         2102.53         0.127117        0.998634        43.9512         4.75935         
W47     2099.92         2098.76         0.125601        1.00055         42.44           0.262577        
W48     2100.13         2101.5          0.137938        0.999349        36.2048         0.809871        
W49     2100.28         2106.95         0.130592        0.996835        33.1327         0.210568        
W50     2100.39         2104.2          0.139792        0.998187        67.0432         1.63655         
W51     2100.44         2101.96         0.121069        0.999279        42.5495         0.408346        
W52     2100.44         2109.86         0.138205        0.995534        53.8712         0.77677         
W53     2100.39         2061.47         0.122598        1.01888         75.2844         7.44509         
W54     2100.28         2101.83         0.122584        0.999266        27.5713         1.5692          
W55     2100.13         2102.01         0.117568        0.999103        23.5803         0.748237        
W56     2099.92         2085.77         0.109004        1.00678         31.0784         0.497067        
W57     2099.66         2045.58         0.110518        1.02644         51.9394         0.087123        
W58     2099.34         2069.39         0.128379        1.01448         36.9411         0.626746        
W59     2098.98         2090            0.118101        1.0043          38.79           1.53407         
W60     2098.56         2129.03         0.116157        0.985691        90.4923         0.712505        
W61     2098.09         2930.33         0.101311        0.715992        1.16846         1.83466e-08     
W62     2097.57         1480.67         0.063865        1.41663         6.59261         2.52695         
W63     2097            1822.7          0.128494        1.15049         199.391         1.66742         
W64     2096.38         2053.08         0.113109        1.02109         52.9957         0.835317        
W65     2095.7          2098.99         0.116971        0.998432        40.3041         4.18857         
W66     2094.98         2384.64         0.119559        0.878529        193.163         3.93613         
W67     2094.2          2092.03         0.134253        1.00104         51.1358         4.8875          
W68             2093.37         2270            0.922189        117.241         1               
W69     2094.15         1609.18         0.135356        1.30138         3.83099         1.54312e-05     
W70     2094.98         2052.42         0.125195        1.02073         61.4282         1.55699         
W71             2095.75         1942.37         1.07897         94.1239         0.589486        
W72     2096.48         2178.66         0.123115        0.96228         55.0758         0.389562        
W73     2097.15         2106.66         0.116977        0.99549         59.5208         5.70346         
W74     2097.78         2330            0.0887164       0.900334        1.10862         2.93779e-06     
W75     2098.35         2041.31         0.112906        1.02794         64.6765         2.25357         
W76     2098.87         2097.08         0.114313        1.00086         47.8024         5.84762         
W77     2099.34         2097.48         0.133654        1.00089         43.1159         0.948534        
W78     2099.76         2100.98         0.129301        0.999421        23.4175         0.0732702       
W79     2100.13         2094.37         0.145697        1.00275         41.2168         2.35402         
W80     2100.44         2097.53         0.14109         1.00139         41.1276         2.15364         
W81     2100.7          2098.65         0.137324        1.00097         45.9953         2.03145         
W82     2100.91         2104.3          0.131762        0.998387        18.537          0.252378        
W83     2101.07         2099.73         0.128997        1.00064         43.8293         1.25991         
W84     2101.17         2102.97         0.131912        0.999146        56.3852         2.81012         
W85     2101.22         2107.4          0.124844        0.99707         45.03           1.17552         
W86     2101.22         2105.28         0.141805        0.998072        45.6122         0.937942        
W87     2101.17         2104.82         0.120293        0.998265        31.9564         2.05491         
W88     2101.07         2097.56         0.128198        1.00167         49.3809         1.55806         
W89     2100.91         2097.72         0.110986        1.00152         56.8895         2.73076         
W90     2100.7          2094.85         0.124376        1.00279         45.6823         0.560148        
W91     2100.44         2091.93         0.130094        1.00407         54.4386         0.476307        
W92     2100.13         2098.19         0.120051        1.00092         36.9657         0.410445        
W93     2099.76         2123.21         0.130677        0.988956        29.9444         0.337482        
W94     2099.34         2117.01         0.13435         0.991652        54.5243         4.69053         
W95     2098.87         2038.61         0.118688        1.02956         42.2723         2.59723         
W96     2098.35         1550.01         0.085906        1.35377         50.6965         1.89563         
W97             2097.78         2052.61         1.02201         55.3581         0.683783        
W98     2097.15         2105.25         0.119235        0.996156        24.6831         1.16519         
W99     2096.48         2094.63         0.127109        1.00088         24.4782         1.26624         
W100            2095.75         2061.89         1.01642         69.5094         1               
W101    2094.98         2092.74         0.127663        1.00107         43.2996         3.06627         
W102            2094.15         2133.75         0.981441        67.1635         1               
W103    2094.87         2374.12         0.122           0.882377        43.5095         1.23125         
W104    2095.7          2089.99         0.104014        1.00273         28.8132         1.99524         
W105    2096.48         2152.07         0.113702        0.974166        35.1956         0.599107        
W106    2097.21         2072.8          0.110885        1.01177         67.1242         1.63719         
W107    2097.88         2086.61         0.0980917       1.0054          31.2682         3.56283         
