Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      3448.21         3121.13         0.126934        1.1048          5.71932         5.27261e-06     
W2      3450.42         3640.14         0.111639        0.947882        6.07003         0.764512        
W3      3452.5          3957.27         0.123767        0.872443        47.123          1.58134         
W4      3454.44         4329.66         0.140789        0.797854        7.21437         0.738488        
W5      3456.24         3849.55         0.144781        0.89783         55.8387         1.64582         
W6      3457.91         3598.78         0.124851        0.960856        35.54           1.41567         
W7      3459.44         4249.59         0.126148        0.814066        137.941         1.19871         
W8      3460.84         3758.32         0.148568        0.920848        82.9734         1.45156         
W9      3462.09         3932.41         0.143274        0.8804          125.497         1.20999         
W10     3463.21         3662.89         0.144225        0.945486        54.9093         1.4357          
W11     3464.19         3697.32         0.142215        0.936946        42.1764         1.22022         
W12     3465.03         4093.7          0.138768        0.846431        56.1891         0.790942        
W13     3465.73         3732.51         0.12792         0.928524        60.6002         0.665215        
W14     3466.29         3936.19         0.14837         0.88062         30.3462         2.2233          
W15     3466.71         4101.15         0.163964        0.845303        57.1379         0.607894        
W16     3466.99         4107.37         0.158071        0.844089        71.5719         0.960714        
W17     3467.13         4370.94         0.144781        0.793222        78.0428         1.72681         
W18     3467.13         4117.1          0.151825        0.842129        53.2628         1.26944         
W19     3466.99         4126.31         0.148448        0.840215        46.579          1.46243         
W20     3466.71         4063.45         0.151524        0.853145        95.7358         1.10845         
W21     3466.29         4174.71         0.173369        0.830307        61.5937         1.34841         
W22     3465.73         4008.05         0.122964        0.864691        120.106         1.85272         
W23     3465.03         4064.81         0.137893        0.852446        58.5762         1.71419         
W24     3464.19         4051.39         0.130544        0.855063        21.8934         1.53709         
W25     3463.21         3851.5          0.153056        0.899185        51.994          0.766316        
W26     3462.09         3929.25         0.145894        0.881108        72.4458         1.06077         
W27     3460.84         3977.35         0.129268        0.870137        85.4093         1.70285         
W28     3459.44         3905.75         0.134289        0.885731        86.027          2.05226         
W29     3457.91         4273.44         0.154001        0.809163        64.6825         1.35712         
W30     3456.24         4034.27         0.145999        0.856721        52.7876         2.52117         
W31     3454.44         3625.7          0.152805        0.952764        50.17           1.38725         
W32     3452.5          2965.25         0.143513        1.16432         52.4995         0.520677        
W33     3450.42         4189.47         0.154176        0.823593        86.2351         1.87398         
W34     3448.21         4042.12         0.150059        0.853069        5.53846         7.70633e-06     
W35     3450.42         4080.61         0.139936        0.845563        64.1238         0.341643        
W36     3452.63         3495.02         0.117124        0.987873        27.8462         0.408647        
W37     3454.71         3259.02         0.110036        1.06005         37.6103         1.60961         
W38     3456.66         3484.66         0.114573        0.991963        32.0536         1.15932         
W39     3458.46         3464.62         0.0974431       0.998224        51.8092         1.07068         
W40     3460.14         3477.39         0.102798        0.995037        76.8714         1.10978         
W41     3461.67         3516.32         0.110246        0.984459        73.8794         1.45822         
W42     3463.07         3365.89         0.106644        1.02887         70.0671         1.32247         
W43     3464.33         3493.89         0.111397        0.99154         81.6592         0.561894        
W44     3465.45         3476.69         0.105026        0.996765        85.0251         0.543413        
W45     3466.43         3477.88         0.111244        0.996707        75.0951         1.11727         
W46     3467.27         3329.64         0.105711        1.04133         97.4493         1.23277         
W47     3467.97         3492.73         0.114007        0.992911        74.0648         1.71852         
W48     3468.53         3485.96         0.120679        0.995           67.2575         0.614391        
W49     3468.95         3469.86         0.119943        0.999737        78.9507         0.66683         
W50     3469.23         3479.45         0.127728        0.997063        65.8684         3.13066         
W51     3469.37         3477.69         0.112969        0.997609        55.9097         1.05255         
W52     3469.37         3480.09         0.123089        0.99692         59.4601         1.33697         
W53     3469.23         3477.39         0.113731        0.997653        85.8611         0.575625        
W54     3468.95         3509.24         0.108471        0.988519        49.0376         0.829491        
W55     3468.53         3422.67         0.108489        1.0134          61.7719         1.38984         
W56     3467.97         3484.72         0.100316        0.995193        84.9456         1.06931         
W57     3467.27         3469.06         0.106119        0.999484        72.6864         0.714767        
W58     3466.43         3464.83         0.119998        1.00046         74.774          0.871702        
W59     3465.45         3475.39         0.10605         0.997137        50.2577         2.35461         
W60     3464.33         3468.97         0.0992922       0.998662        58.5214         1.30714         
W61     3463.07         3458.34         0.110935        1.00137         85.3378         1.54848         
W62     3461.67         3470.41         0.118391        0.997482        39.2758         1.13518         
W63     3460.14         3457.82         0.115841        1.00067         51.8897         1.35719         
W64     3458.46         3460.83         0.101245        0.999318        52.4863         1.5139          
W65     3456.66         3424.45         0.108076        1.0094          94.376          0.774108        
W66     3454.71         3495.93         0.115633        0.988209        75.6946         0.989827        
W67     3452.63         3424.95         0.124041        1.00808         41.0451         0.679967        
W68     3450.42         3940.93         0.125788        0.875534        129.142         1.2171          
W69     3452.49         3996.61         0.137855        0.863854        60.5025         1.46273         
W70     3454.71         3409.99         0.123439        1.01311         50.6699         1.51175         
W71     3456.79         3435.16         0.111891        1.0063          43.587          0.913996        
W72     3458.74         3461.47         0.100184        0.999211        71.2095         0.96555         
W73     3460.55         3467.45         0.103298        0.99801         99.3759         1.22786         
W74     3462.23         3455.97         0.108493        1.00181         59.4289         0.950897        
W75     3463.76         3468.85         0.10366         0.998533        75.1096         1.11287         
W76     3465.16         3465.85         0.110923        0.999801        62.3554         0.724183        
W77     3466.42         3466.93         0.11912         0.999853        55.2394         0.231538        
W78     3467.54         3467.49         0.114073        1.00001         56.4064         0.916225        
W79     3468.52         3465.74         0.131769        1.0008          66.5567         1.23307         
W80     3469.37         3475.39         0.13202         0.998266        60.8258         1.44317         
W81     3470.07         3483.83         0.122001        0.996051        51.7733         1.0123          
W82     3470.63         3469.53         0.120252        1.00032         45.6757         0.673053        
W83     3471.05         3473.91         0.116075        0.999177        80.3244         1.81443         
W84     3471.33         3470.3          0.117113        1.0003          59.1538         1.50488         
W85     3471.48         3470.28         0.112713        1.00035         54.7837         1.4737          
W86     3471.48         3469.8          0.124292        1.00048         59.6186         0.878174        
W87     3471.33         3471.81         0.112428        0.999862        60.3255         1.11407         
W88     3471.05         3466.25         0.118331        1.00139         53.0585         1.41605         
W89     3470.63         3473.15         0.100115        0.999276        60.4024         1.48528         
W90     3470.07         3450.65         0.111337        1.00563         64.0957         1.2724          
W91     3469.37         3468.07         0.112322        1.00037         62.2705         1.27451         
W92     3468.52         3464.2          0.109447        1.00125         71.5874         0.617252        
W93     3467.54         3469.94         0.114702        0.999309        90.0137         1.48445         
W94     3466.42         3450.02         0.126313        1.00475         68.493          1.77914         
W95     3465.16         3468.91         0.105745        0.998921        54.3023         1.46815         
W96     3463.76         3465.46         0.111689        0.999511        49.9632         0.619875        
W97     3462.23         3457.09         0.116416        1.00149         69.2576         1.51244         
W98     3460.55         3455.43         0.110757        1.00148         54.3606         1.86025         
W99     3458.74         3452.86         0.114483        1.0017          92.8078         1.6035          
W100            3456.79         3449.58         1.00209         104.725         1.2284          
W101    3454.71         3486.48         0.114316        0.990888        60.4574         2.48615         
W102    3452.49         4113.15         0.138262        0.839379        91.8412         2.59144         
W103    3454.43         3735.32         0.114231        0.924801        199.982         1.35212         
W104    3456.65         3467.08         0.0996628       0.996991        50.0991         1.66932         
W105    3458.74         3455.26         0.0959959       1.00101         64.8537         1.41148         
W106            3460.69         3435.06         1.00746         86.2465         1.17371         
W107    3462.5          3464.99         0.090599        0.99928         38.5661         1.4689          
W108    3464.18         3454.9          0.0869029       1.00269         68.9767         1.89586         
W109    3465.72         3460.35         0.103904        1.00155         46.912          0.376855        
W110    3467.12         3468.3          0.102785        0.999658        54.592          1.25458         
W111    3468.38         3480.36         0.106323        0.996557        85.3117         1.2764          
W112    3469.5          3468.94         0.11164         1.00016         80.9628         0.40423         
W113    3470.49         3460.53         0.121111        1.00288         75.7415         0.70275         
W114    3471.33         3474.08         0.106294        0.999209        61.0194         0.460843        
W115    3472.03         3471.92         0.108602        1.00003         77.9668         0.305934        
W116    3472.6          3472.03         0.105852        1.00016         61.2442         1.16116         
W117    3473.02         3470.47         0.115564        1.00073         63.6204         1.31832         
W118    3473.3          3473.34         0.101362        0.999988        56.7888         1.38541         
W119    3473.44         3478.17         0.114041        0.99864         67.6182         2.75905         
W120    3473.44         3474.82         0.105423        0.999603        71.8463         1.73957         
W121    3473.3          3472.71         0.104154        1.00017         72.3648         1.19242         
W122    3473.02         3480.53         0.106041        0.997842        47.6397         0.945886        
W123    3472.6          3470.38         0.109211        1.00064         66.298          1.082           
W124    3472.03         3468.88         0.111362        1.00091         73.4252         0.291307        
W125    3471.33         3470.3          0.107061        1.0003          69.2624         0.851829        
W126    3470.49         3469.32         0.10896         1.00034         76.057          1.0011          
W127    3469.5          3469.63         0.109371        0.999964        54.6586         1.37255         
W128    3468.38         3467.11         0.0976933       1.00037         68.9271         0.573215        
W129    3467.12         3452.09         0.115798        1.00435         70.1685         0.98425         
W130    3465.72         3463.26         0.103944        1.00071         52.4032         0.581507        
W131    3464.18         3476.74         0.105938        0.996386        32.7114         0.931065        
W132    3462.5          3466.46         0.119103        0.998858        68.6395         1.45771         
W133    3460.69         3463.48         0.109871        0.999193        84.4304         1.38389         
W134            3458.74         3468.99         0.997045        121.831         0.307227        
W135    3456.65         3452.23         0.110986        1.00128         66.3421         1.16254         
W136    3454.43         4046.88         0.148919        0.853602        43.1907         1.13614         
W137    3456.23         3769.33         0.133198        0.916933        58.6602         1.58981         
W138    3458.45         3375.4          0.107349        1.02461         63.4553         0.667072        
W139    3460.54         3465.92         0.112482        0.99845         32.0687         1.35344         
W140            3462.5          3473.57         0.996814        137.335         1.11692         
W141    3464.31         3469.63         0.105561        0.998469        80.9195         2.47987         
W142    3465.99         3468.83         0.115889        0.999183        76.3532         0.632663        
W143    3467.54         3471.62         0.105002        0.998824        67.0206         1.39421         
W144    3468.94         3469.01         0.106224        0.999979        63.0822         1.43565         
W145    3470.2          3479.6          0.109316        0.997298        47.6507         1.27704         
W146    3471.33         3471.44         0.10866         0.999967        70.4566         2.195           
W147    3472.31         3458.92         0.112467        1.00387         76.3434         1.2096          
W148    3473.16         3474.24         0.112306        0.999688        67.4558         0.95493         
W149    3473.86         3473.96         0.108443        0.999973        65.601          1.22558         
W150    3474.43         3475.97         0.115295        0.999556        53.9661         1.68807         
W151    3474.85         3475.69         0.119838        0.999759        67.504          0.730261        
W152    3475.13         3473.32         0.109731        1.00052         61.5054         1.14256         
W153    3475.27         3476.26         0.118629        0.999717        62.3105         2.08229         
W154    3475.27         3475.51         0.113325        0.999933        58.4981         2.01042         
W155    3475.13         3475.62         0.105866        0.999859        58.6637         3.15385         
W156    3474.85         3471.99         0.116922        1.00082         73.4131         1.02357         
W157    3474.43         3473.99         0.117568        1.00013         66.1944         1.8182          
W158    3473.86         3465.52         0.127406        1.00241         71.4994         1.52475         
W159    3473.16         3474.48         0.105826        0.999619        71.8865         0.776406        
W160    3472.31         3471.54         0.111737        1.00022         50.4075         1.07809         
W161    3471.33         3462.37         0.114234        1.00259         68.7001         1.10153         
W162    3470.2          3477.88         0.108811        0.997792        85.7526         1.81193         
W163    3468.94         3466.41         0.109047        1.00073         50.8801         1.60068         
W164    3467.54         3468.26         0.120771        0.999792        51.7327         0.362247        
W165    3465.99         3468.4          0.10107         0.999306        74.4961         1.41495         
W166    3464.31         3466.25         0.111692        0.999442        41.5592         1.26346         
W167            3462.5          3462.52         0.999994        124.492         1.79123         
W168    3460.54         3455.56         0.108309        1.00144         63.6245         0.92368         
W169    3458.45         3456.3          0.0949863       1.00062         46.804          0.897397        
W170    3456.23         3746.23         0.129315        0.922588        166.457         1.45008         
W171    3457.89         3861.74         0.125368        0.895425        54.2304         1.65501         
W172    3460.12         3492.63         0.103006        0.990694        54.5764         1.51089         
W173            3462.21         3465.56         0.999034        90.6154         0.874668        
W174    3464.17         3466.65         0.099129        0.999286        71.7837         1.90051         
W175    3465.99         3457.32         0.108163        1.00251         65.2303         0.788013        
W176    3467.67         3468.34         0.120633        0.999808        65.3389         1.40992         
W177    3469.22         3470.01         0.108839        0.999772        35.31           1.82569         
W178    3470.62         3470.87         0.110971        0.999928        59.1977         1.61964         
W179    3471.89         3473.78         0.114115        0.999456        77.5852         0.649161        
W180    3473.01         3474.82         0.112061        0.99948         74.7385         0.751483        
W181    3474            3473.64         0.118333        1.0001          94.1866         0.897472        
W182    3474.85         3474.96         0.112068        0.999967        64.1232         0.540961        
W183    3475.55         3475.63         0.122514        0.999979        67.6777         0.818311        
W184    3476.12         3480.39         0.111659        0.998773        78.1279         1.64517         
W185    3476.54         3476.06         0.117274        1.00014         60.7811         1.02341         
W186    3476.82         3477.03         0.100693        0.999941        59.6547         1.12101         
W187    3476.96         3477.32         0.120347        0.999896        57.5928         1.91929         
W188    3476.96         3475.78         0.117721        1.00034         62.5266         0.442813        
W189    3476.82         3476.31         0.119227        1.00015         65.2073         1.71583         
W190    3476.54         3475.72         0.106307        1.00024         61.497          0.13248         
W191    3476.12         3476.16         0.107277        0.999987        69.2262         0.903643        
W192    3475.55         3476.56         0.114363        0.999711        62.9203         1.18404         
W193    3474.85         3475.29         0.106249        0.999871        65.3609         0.483673        
W194    3474            3473.93         0.108013        1.00002         68.2025         0.899846        
W195    3473.01         3473.94         0.110227        0.999733        75.9213         1.03256         
W196    3471.89         3469.55         0.115162        1.00067         67.8235         0.584384        
W197    3470.62         3474.55         0.10379         0.998869        53.447          0.887668        
W198    3469.22         3475.68         0.116798        0.99814         46.4158         0.614674        
W199    3467.67         3456.3          0.115077        1.00329         65.4455         1.71842         
W200    3465.99         3471.52         0.114219        0.998406        32.7306         0.90881         
W201    3464.17         3454.03         0.12113         1.00294         59.3003         1.88512         
W202    3462.21         3448.51         0.115549        1.00397         81.6922         1.52299         
W203    3460.12         3501.39         0.112218        0.988214        78.5234         1.64955         
W204    3457.89         3853.87         0.136294        0.897252        16.6623         1.57062         
W205    3459.42         3976.77         0.15208         0.869908        193.018         1.78923         
W206    3461.65         3467.58         0.111389        0.99829         102.917         0.958367        
W207    3463.75         3464.66         0.113793        0.999736        69.2101         0.555322        
W208    3465.71         3498.22         0.109057        0.990705        43.4022         0.770357        
W209    3467.53         3467.28         0.104034        1.00007         61.587          0.595013        
W210    3469.21         3469.96         0.127411        0.999784        82.3784         1.6693          
W211    3470.76         3471.07         0.115748        0.999911        64.3012         1.39433         
W212    3472.17         3472.71         0.122704        0.999844        69.9536         1.23224         
W213    3473.43         3467.63         0.109553        1.00167         80.2477         0.835607        
W214    3474.56         3475.46         0.107215        0.999741        87.0427         0.780601        
W215    3475.55         3475.33         0.130424        1.00006         75.2326         1.18994         
W216    3476.4          3476.79         0.10873         0.999887        68.2569         1.36658         
W217    3477.1          3479.3          0.100564        0.999369        56.2623         0.998818        
W218    3477.67         3476.42         0.103146        1.00036         85.7314         1.16168         
W219    3478.09         3478.73         0.119072        0.999817        77.9723         0.838364        
W220    3478.38         3477.45         0.10146         1.00027         77.0017         2.30557         
W221    3478.52         3478.64         0.110863        0.999965        62.5272         1.18701         
W222    3478.52         3478.63         0.113806        0.999969        67.6874         1.65866         
W223    3478.38         3477.74         0.113951        1.00018         62.3947         0.464774        
W224    3478.09         3478.06         0.109952        1.00001         67.5683         0.220944        
W225    3477.67         3478.83         0.114626        0.999667        77.3329         1.32833         
W226    3477.1          3476.9          0.113962        1.00006         66.7538         0.669685        
W227    3476.4          3476.24         0.122357        1.00005         76.9747         1.20021         
W228    3475.55         3475.86         0.113802        0.999909        72.3887         0.908341        
W229    3474.56         3474.07         0.1201          1.00014         69.1305         0.677824        
W230    3473.43         3475.24         0.122166        0.999481        66.3335         1.04024         
W231    3472.17         3476.16         0.114457        0.998851        40.2527         1.37019         
W232    3470.76         3466.38         0.118293        1.00126         64.5274         0.719694        
W233    3469.21         3463.17         0.126479        1.00175         75.8127         0.794056        
W234    3467.53         3461.41         0.102853        1.00177         76.3395         0.610895        
W235    3465.71         3458.37         0.10449         1.00212         58.5213         1.11131         
W236    3463.75         3448.59         0.100398        1.00439         90.2225         0.519846        
W237    3461.65         3471.36         0.102963        0.997204        87.7201         2.52262         
W238    3459.42         4323.98         0.169784        0.800056        170.089         1.00785         
W239    3460.81         3850.97         0.124377        0.898686        93.475          1.38977         
W240    3463.05         3511.21         0.0988041       0.986282        117.68          0.514721        
W241    3465.14         3458.65         0.110075        1.00188         58.877          1.46644         
W242    3467.11         3390.19         0.113538        1.02269         48.2058         1.97258         
W243    3468.93         3458.25         0.118651        1.00309         70.6384         1.04019         
W244    3470.62         3470.92         0.110825        0.999911        63.5952         1.44639         
W245    3472.16         3472.31         0.103865        0.999958        67.6467         0.716292        
W246    3473.57         3472.45         0.111624        1.00032         68.3158         1.64578         
W247    3474.84         3475.01         0.109612        0.99995         68.394          1.05904         
W248    3475.97         3475.36         0.12523         1.00017         69.324          0.77472         
W249    3476.96         3476.34         0.118855        1.00018         68.3302         2.09581         
W250    3477.81         3477.27         0.1139          1.00015         69.5534         1.07651         
W251    3478.51         3476.58         0.117712        1.00056         72.9382         0.88712         
W252    3479.08         3479.55         0.109724        0.999866        70.1097         0.581311        
W253    3479.5          3480.65         0.114229        0.999671        73.638          0.660664        
W254    3479.79         3479.99         0.120928        0.999941        64.3915         0.731649        
W255    3479.93         3481.41         0.117375        0.999575        67.2256         0.824694        
W256    3479.93         3479.72         0.109937        1.00006         65.8949         0.640979        
W257    3479.79         3480.29         0.113799        0.999856        70.6804         0.275153        
W258    3479.5          3479.28         0.122407        1.00006         70.1675         2.47757         
